TreeID,Sensor,Timestamp,M1,M2,M3,M4,M5,M6,T1,T2,T3,T4,T5,T6,T7
ET7,2,2023-07-20T11:11:00Z,0,7.8,7.2,13.5,9.9,22.3,20.5,20.1,20.1,20.3,20.5,20.5,20.3
ET7,2,2023-07-20T12:11:00Z,0,8.2,7.3,13.4,9.8,22.3,20.5,20.1,20.1,20.3,20.5,20.5,20.2
ET7,2,2023-07-20T13:11:00Z,0,9.2,7.8,13.6,9.9,22.3,20.6,20.1,20.1,20.3,20.5,20.5,20.2
ET7,2,2023-07-20T14:11:00Z,0,8.5,8,13.8,9.9,22.3,20.6,20.2,20.1,20.3,20.5,20.5,20.3
ET7,2,2023-07-20T15:11:00Z,0,8.2,8,13.8,10,22.3,20.7,20.2,20.1,20.3,20.3,20.5,20.3
ET7,2,2023-07-20T16:11:00Z,0,8,7.9,14,10.1,22.4,20.7,20.3,20.1,20.3,20.5,20.5,20.3
ET7,2,2023-07-20T17:11:00Z,0,8,7.9,13.9,10.1,22.5,20.7,20.3,20.1,20.3,20.3,20.3,20.3
ET7,2,2023-07-20T18:11:00Z,0,7.9,7.9,14,10.2,22.6,20.7,20.3,20.1,20.3,20.5,20.5,20.3
ET7,2,2023-07-20T19:11:00Z,0,7.8,7.9,14,10.3,22.7,20.6,20.3,20.1,20.3,20.5,20.5,20.3
ET7,2,2023-07-20T20:11:00Z,0,7.8,7.8,13.9,10.2,22.7,20.6,20.3,20.1,20.3,20.5,20.5,20.3
ET7,2,2023-07-20T21:11:00Z,0,7.7,7.8,14,10.3,22.8,20.6,20.2,20.2,20.3,20.5,20.5,20.2
ET7,2,2023-07-20T22:11:00Z,0,7.7,7.8,13.9,10.3,22.8,20.6,20.3,20.2,20.3,20.5,20.5,20.3
ET7,2,2023-07-20T23:11:00Z,0,7.6,7.8,14,10.3,22.9,20.6,20.3,20.2,20.3,20.5,20.5,20.3
ET7,2,2023-07-21T00:11:00Z,0,7.6,7.7,13.9,10.3,22.9,20.6,20.3,20.2,20.5,20.5,20.5,20.2
ET7,2,2023-07-21T01:11:00Z,0,7.6,7.7,13.9,10.3,22.9,20.6,20.3,20.2,20.5,20.5,20.5,20.2
ET7,2,2023-07-21T02:11:00Z,0,7.7,7.7,14,10.3,22.9,20.6,20.3,20.2,20.3,20.5,20.5,20.3
ET7,2,2023-07-21T03:11:00Z,0,8.1,7.7,13.9,10.3,22.9,20.6,20.3,20.2,20.3,20.5,20.5,20.3
ET7,2,2023-07-21T04:11:00Z,0,9.4,7.9,13.9,10.2,22.9,20.6,20.3,20.2,20.3,20.5,20.5,20.3
ET7,2,2023-07-21T05:11:00Z,0,9.2,8.3,14,10.3,22.9,20.6,20.3,20.2,20.5,20.5,20.5,20.2
ET7,2,2023-07-21T06:11:00Z,0,8.8,8.3,14.2,10.4,22.9,20.6,20.3,20.2,20.5,20.5,20.5,20.2
ET7,2,2023-07-21T07:11:00Z,0,8.4,8.2,14.4,10.5,23.1,20.6,20.3,20.2,20.3,20.5,20.3,20.3
ET7,2,2023-07-21T08:11:00Z,0,8.2,8.2,14.3,10.6,23.2,20.6,20.3,20.2,20.5,20.5,20.5,20.2
ET7,2,2023-07-21T09:11:00Z,0,8.1,8.1,14.3,10.6,23.3,20.7,20.3,20.3,20.5,20.5,20.5,20.2
ET7,2,2023-07-21T10:11:00Z,0,8,8,14.2,10.5,23.2,20.7,20.5,20.2,20.5,20.5,20.5,20.3
ET7,2,2023-07-21T11:11:00Z,0,7.9,8,14.3,10.6,23.3,20.8,20.3,20.2,20.5,20.5,20.5,20.3
ET7,2,2023-07-21T12:11:00Z,0,7.8,8,14.3,10.5,23.3,21,20.5,20.2,20.5,20.5,20.5,20.3
ET7,2,2023-07-21T13:11:00Z,0,7.7,7.9,14.2,10.5,23.2,21.1,20.5,20.3,20.5,20.5,20.5,20.3
ET7,2,2023-07-21T14:11:00Z,0,7.7,7.9,14.2,10.5,23.2,21.2,20.5,20.3,20.5,20.5,20.5,20.3
ET7,2,2023-07-21T15:11:00Z,0,7.6,7.8,14.1,10.5,23.2,21.2,20.6,20.3,20.5,20.5,20.5,20.3
ET7,2,2023-07-21T16:11:00Z,0,7.6,7.8,14.2,10.5,23.1,21.2,20.6,20.3,20.5,20.6,20.5,20.3
ET7,2,2023-07-21T17:11:00Z,0,7.6,7.8,14.1,10.5,23.1,21.2,20.6,20.3,20.5,20.5,20.5,20.3
ET7,2,2023-07-21T18:11:00Z,0,7.5,7.8,14.1,10.4,23.1,21.2,20.7,20.3,20.5,20.5,20.5,20.3
ET7,2,2023-07-21T19:11:00Z,0,7.5,7.7,14.1,10.4,23.1,21.1,20.7,20.3,20.5,20.5,20.5,20.3
ET7,2,2023-07-21T20:11:00Z,0,7.5,7.7,14,10.4,23.1,21.1,20.7,20.5,20.5,20.6,20.6,20.3
ET7,2,2023-07-21T21:11:00Z,0,8,7.7,14.1,10.4,23.1,21.1,20.7,20.5,20.6,20.5,20.5,20.3
ET7,2,2023-07-21T22:11:00Z,0,8,7.7,13.9,10.3,23,21.1,20.7,20.5,20.5,20.5,20.5,20.3
ET7,2,2023-07-21T23:11:00Z,0,7.9,7.7,13.9,10.3,23,21,20.7,20.5,20.5,20.6,20.5,20.2
ET7,2,2023-07-22T00:11:00Z,0,7.9,7.7,14.1,10.4,23,21,20.7,20.5,20.6,20.6,20.5,20.3
ET7,2,2023-07-22T01:11:00Z,0,7.8,7.8,13.9,10.3,23,21,20.7,20.5,20.6,20.6,20.5,20.3
ET7,2,2023-07-22T02:11:00Z,0,7.8,7.8,14,10.4,23,20.8,20.7,20.6,20.6,20.6,20.6,20.3
ET7,2,2023-07-22T03:11:00Z,0,7.8,7.7,14,10.3,23,20.8,20.7,20.6,20.6,20.6,20.5,20.3
ET7,2,2023-07-22T04:11:00Z,0,7.7,7.7,14.1,10.4,23,20.7,20.7,20.5,20.6,20.6,20.6,20.3
ET7,2,2023-07-22T05:11:00Z,0,7.7,7.7,13.9,10.3,23,20.7,20.7,20.6,20.6,20.6,20.6,20.3
ET7,2,2023-07-22T06:11:00Z,0,7.6,7.7,14.1,10.4,23,20.7,20.6,20.5,20.6,20.6,20.6,20.3
ET7,2,2023-07-22T07:11:00Z,0,7.6,7.7,14.1,10.4,23,20.7,20.6,20.6,20.7,20.6,20.6,20.3
ET7,2,2023-07-22T08:11:00Z,0,7.6,7.7,14.1,10.4,23,20.7,20.6,20.6,20.6,20.6,20.5,20.3
ET7,2,2023-07-22T09:11:00Z,0,7.6,7.7,14.1,10.4,23,20.8,20.6,20.5,20.6,20.6,20.6,20.3
ET7,2,2023-07-22T10:11:00Z,0,7.5,7.7,14.1,10.4,23,20.8,20.6,20.5,20.6,20.6,20.6,20.3
ET7,2,2023-07-22T11:11:00Z,0,7.5,7.7,14,10.4,23,20.8,20.6,20.5,20.7,20.6,20.6,20.3
ET7,2,2023-07-22T12:11:00Z,0,7.5,7.7,14,10.4,22.9,20.8,20.7,20.6,20.6,20.6,20.6,20.3
ET7,2,2023-07-22T13:11:00Z,0,7.5,7.7,13.9,10.3,22.9,21,20.6,20.6,20.6,20.6,20.6,20.3
ET7,2,2023-07-22T14:11:00Z,0,7.5,7.7,13.9,10.3,22.9,21,20.7,20.6,20.7,20.6,20.6,20.3
ET7,2,2023-07-22T15:11:00Z,0,7.5,7.7,14,10.4,22.9,21.1,20.7,20.5,20.6,20.6,20.6,20.3
ET7,2,2023-07-22T16:11:00Z,0,7.5,7.6,13.9,10.3,22.9,21.1,20.7,20.5,20.7,20.6,20.6,20.3
