TreeID,Sensor,Timestamp,M1,M2,M3,M4,M5,M6,T1,T2,T3,T4,T5,T6,T7
ET3,1,2022-07-12T11:29:00Z,20.6,22.5,18.5,15.8,38.2,28.1,19,19,19,19,20,19.5,18.5
ET3,1,2022-07-12T12:29:00Z,20.9,22,18.6,15.8,38.2,28.1,19,19,19,19,20,19.5,18.5
ET3,1,2022-07-12T13:29:00Z,21,21.9,18.6,15.8,38.2,28.1,19,19,19,19,19.5,19.5,18.5
ET3,1,2022-07-12T14:29:00Z,21.2,21.8,18.6,15.8,38.2,28.1,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-12T15:29:00Z,21.3,21.7,18.6,15.8,38.4,28.1,19,19,19,19,20,19.5,18.5
ET3,1,2022-07-12T16:29:00Z,21.2,21.7,18.6,15.8,38.4,28.1,19,19,19,19,20,19.5,18.5
ET3,1,2022-07-12T17:29:00Z,21.2,21.6,18.6,15.8,38.4,28.1,19,19,19,19,20,19.5,18.5
ET3,1,2022-07-12T18:29:00Z,21.7,21.6,18.6,15.8,38.4,28.1,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-12T19:29:00Z,21.4,21.6,18.6,15.8,38.5,28.1,19,19,18.5,19,19.5,19.5,18.5
ET3,1,2022-07-12T20:29:00Z,21.3,21.6,18.6,16,38.5,28.1,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-12T21:29:00Z,21.3,21.6,18.6,16,38.5,28.1,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-12T22:29:00Z,21.3,21.6,18.6,16,38.5,28.1,18.5,19,19,19,20,19,18.5
ET3,1,2022-07-12T23:29:00Z,21.4,21.5,18.7,16,38.5,28.1,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T00:29:00Z,21.4,21.5,19.2,16,38.5,28.1,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T01:29:00Z,21.5,21.5,19.2,16,38.5,28.1,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T02:29:00Z,21.6,21.5,19.2,16,38.5,28.1,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T03:29:00Z,21.6,21.5,19.2,16,38.5,28.1,18.5,19,19,19,19.5,19.5,18.5
ET3,1,2022-07-13T04:29:00Z,21.6,21.5,19.2,16,38.5,28.1,18.5,19,18.5,19,20,19.5,18.5
ET3,1,2022-07-13T05:29:00Z,21.5,21.5,19.2,16,38.5,28.1,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T06:29:00Z,21.5,21.5,19.2,16.1,38.5,28.1,18.5,19,18.5,19,19.5,19.5,18.5
ET3,1,2022-07-13T07:29:00Z,21.5,21.5,19.2,16.1,38.5,28.1,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T08:29:00Z,21.4,21.5,19.3,16.1,38.5,28.1,18.5,19,19,19,19.5,19.5,18.5
ET3,1,2022-07-13T09:29:00Z,21.4,21.5,19.3,16.1,38.5,28.1,18.5,19,19,19,19.5,19.5,18.5
ET3,1,2022-07-13T10:29:00Z,21.4,21.5,19.3,16.1,38.5,28.1,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T11:29:00Z,21.3,21.5,19.3,16.1,38.5,28.1,19,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T12:29:00Z,21.3,21.4,19.3,16.1,38.5,28.1,19,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T13:29:00Z,21.3,21.4,19.3,16.1,38.5,28.2,19,19,18.5,19,20,19.5,18.5
ET3,1,2022-07-13T14:29:00Z,21.3,21.4,19.3,16.1,38.7,28.2,19,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T15:29:00Z,25.5,22.5,19.3,16.2,38.7,28.2,19,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T16:29:00Z,25,23,19.7,16.6,39,28.2,19,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T17:29:00Z,25.6,23.1,19.8,16.6,39,28.2,18.5,19,18.5,19,20,19.5,18.5
ET3,1,2022-07-13T18:29:00Z,25.6,23.3,20.2,16.7,39,28.2,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-13T19:29:00Z,25,23.1,20.2,16.7,39.2,28.6,18.5,19,18.5,19,19.5,19.5,18.5
ET3,1,2022-07-13T20:29:00Z,24.3,22.9,20.2,16.7,39.2,28.7,18.5,19,18.5,19,20,19.5,18.5
ET3,1,2022-07-13T21:29:00Z,23.9,22.7,20.2,16.7,39.2,28.7,18.5,19,18.5,19,19.5,19.5,18.5
ET3,1,2022-07-13T22:29:00Z,23.8,22.6,20.1,16.7,39.2,28.7,18.5,19,18.5,19,20,19.5,18.5
ET3,1,2022-07-13T23:29:00Z,23.6,22.6,20.1,16.7,39.2,28.7,18.5,19,18.5,19,20,19.5,18.5
ET3,1,2022-07-14T00:29:00Z,23.3,22.5,20.1,16.7,39.2,28.7,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-14T01:29:00Z,23.2,22.5,20.1,16.7,39.2,28.7,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-14T02:29:00Z,23.8,22.4,20,16.7,39.2,28.7,18.5,19,19,19,20,19.5,18.5
ET3,1,2022-07-14T03:29:00Z,23.8,22.4,20,16.7,39.2,28.7,18.5,19,18.5,19,20,19.5,18.5
ET3,1,2022-07-14T04:29:00Z,23.8,22.4,20,16.7,39.2,28.7,18,19,19,19,20,19.5,18.5
ET3,1,2022-07-14T05:29:00Z,24.1,22.4,20,16.7,39.2,28.7,18,19,19,19,20,19.5,18.5
