TreeID,Sensor,Timestamp,M1,M2,M3,M4,M5,M6,T1,T2,T3,T4,T5,T6,T7
FB2,3,2022-12-08T09:52:00Z,73.6,73.7,70.6,72.5,53.9,71,18.1,18.7,18.7,19.1,19.1,19.6,19.5
FB2,3,2022-12-08T10:52:00Z,73.6,73.7,70.6,72.5,53.9,71,18.2,18.7,18.6,19.1,19.1,19.6,19.5
FB2,3,2022-12-08T11:11:00Z,73.6,73.7,70.6,72.5,54,71,18.3,18.7,18.7,19,19.1,19.5,19.2
FB2,3,2022-12-08T12:11:00Z,73.7,73.8,70.6,72.5,53.9,71,18.5,18.7,18.6,19,19.1,19.5,19.5
FB2,3,2022-12-08T13:11:00Z,73.8,73.9,70.6,72.8,53.7,71.3,18.6,18.7,18.6,19,19.1,19.5,19.2
FB2,3,2022-12-08T14:11:00Z,73.8,73.9,70.6,72.8,53.9,71.3,18.7,18.8,18.6,19,19.1,19.5,19.2
FB2,3,2022-12-08T15:11:00Z,73.7,73.8,70.6,72.5,53.9,71,19,18.8,18.6,19,19.1,19.5,19.2
FB2,3,2022-12-08T16:11:00Z,73.6,73.7,70.6,72.5,53.9,71,19.2,18.8,18.6,19,19.1,19.5,19.5
FB2,3,2022-12-08T17:11:00Z,73.5,73.6,70.6,72.4,53.7,70.9,19.1,19,18.6,19,19.1,19.6,19.5
FB2,3,2022-12-08T18:11:00Z,73.5,73.6,70.6,72.4,53.9,70.9,19,19,18.7,19,19.1,19.5,19.5
FB2,3,2022-12-08T19:11:00Z,73.4,73.5,70.6,72.4,53.9,70.9,18.8,19,18.6,19,19.1,19.5,19.2
FB2,3,2022-12-08T20:11:00Z,73.4,73.5,70.6,72.4,53.9,70.9,18.8,19.1,18.7,19,19.1,19.5,19.2
FB2,3,2022-12-08T21:11:00Z,73.4,73.5,70.6,72.4,53.9,70.9,18.6,19,18.7,19,19.1,19.5,19.2
FB2,3,2022-12-08T22:11:00Z,73.4,73.5,70.6,72.3,54,70.9,18.6,19,18.7,19,19.1,19.5,19.2
FB2,3,2022-12-08T23:11:00Z,73.4,73.5,70.6,72.4,53.9,70.9,18.5,19,18.7,19,19.1,19.5,19.5
FB2,3,2022-12-09T00:11:00Z,73.4,73.5,70.6,72.4,53.7,70.9,18.3,19,18.7,19,19,19.5,19.5
FB2,3,2022-12-09T01:11:00Z,73.4,73.4,70.5,72.4,53.7,70.9,18.3,19,18.7,19,19.1,19.5,19.5
FB2,3,2022-12-09T02:11:00Z,73.4,73.3,70.6,72.4,53.7,70.9,18.2,18.8,18.7,19,19.1,19.5,19.5
FB2,3,2022-12-09T03:11:00Z,73.4,73.2,70.5,72.3,53.7,70.9,18.2,18.8,18.7,19,19.1,19.5,19.2
