Tree,Location,Timestamp,Depth,Moisture,Temperature
FB2,Inner,2023-07-27T10:22:00Z,1,0,22.8
FB2,Inner,2023-07-27T10:22:00Z,2,8,22.8
FB2,Inner,2023-07-27T10:22:00Z,3,5.5,22.3
FB2,Inner,2023-07-27T10:22:00Z,4,20.2,22.2
FB2,Inner,2023-07-27T10:22:00Z,5,36.3,23
FB2,Inner,2023-07-27T10:22:00Z,6,27,23.2
FB2,Inner,2023-07-27T10:22:00Z,7,NA,22.2
FB2,Inner,2023-07-27T10:59:00Z,1,0,20.8
FB2,Inner,2023-07-27T10:59:00Z,2,8,21.1
FB2,Inner,2023-07-27T10:59:00Z,3,5.5,21.1
FB2,Inner,2023-07-27T10:59:00Z,4,20.3,21.1
FB2,Inner,2023-07-27T10:59:00Z,5,36.3,21.2
FB2,Inner,2023-07-27T10:59:00Z,6,27.1,21.1
FB2,Inner,2023-07-27T10:59:00Z,7,NA,20.8
FB2,Inner,2023-07-27T11:59:00Z,1,0,20.8
FB2,Inner,2023-07-27T11:59:00Z,2,8.1,21
FB2,Inner,2023-07-27T11:59:00Z,3,5.5,20.8
FB2,Inner,2023-07-27T11:59:00Z,4,20.2,20.8
FB2,Inner,2023-07-27T11:59:00Z,5,36.3,21.1
FB2,Inner,2023-07-27T11:59:00Z,6,27.1,21
FB2,Inner,2023-07-27T11:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T12:59:00Z,1,0,21.1
FB2,Inner,2023-07-27T12:59:00Z,2,8.2,21
FB2,Inner,2023-07-27T12:59:00Z,3,5.5,20.8
FB2,Inner,2023-07-27T12:59:00Z,4,20.4,21
FB2,Inner,2023-07-27T12:59:00Z,5,36.4,21
FB2,Inner,2023-07-27T12:59:00Z,6,27.2,21
FB2,Inner,2023-07-27T12:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T13:59:00Z,1,0,21.2
FB2,Inner,2023-07-27T13:59:00Z,2,8.3,21
FB2,Inner,2023-07-27T13:59:00Z,3,5.6,20.8
FB2,Inner,2023-07-27T13:59:00Z,4,20.4,20.8
FB2,Inner,2023-07-27T13:59:00Z,5,36.4,21
FB2,Inner,2023-07-27T13:59:00Z,6,27.2,21
FB2,Inner,2023-07-27T13:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T14:59:00Z,1,0,21.2
FB2,Inner,2023-07-27T14:59:00Z,2,8.3,21
FB2,Inner,2023-07-27T14:59:00Z,3,5.6,20.7
FB2,Inner,2023-07-27T14:59:00Z,4,20.3,20.8
FB2,Inner,2023-07-27T14:59:00Z,5,36.4,21
FB2,Inner,2023-07-27T14:59:00Z,6,27.2,20.8
FB2,Inner,2023-07-27T14:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T15:59:00Z,1,0,21.2
FB2,Inner,2023-07-27T15:59:00Z,2,8.3,21.1
FB2,Inner,2023-07-27T15:59:00Z,3,5.6,20.8
FB2,Inner,2023-07-27T15:59:00Z,4,20.5,20.8
FB2,Inner,2023-07-27T15:59:00Z,5,36.5,21
FB2,Inner,2023-07-27T15:59:00Z,6,27.3,20.8
FB2,Inner,2023-07-27T15:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T16:59:00Z,1,0.1,21.2
FB2,Inner,2023-07-27T16:59:00Z,2,8.4,21.1
FB2,Inner,2023-07-27T16:59:00Z,3,5.7,20.8
FB2,Inner,2023-07-27T16:59:00Z,4,20.5,20.8
FB2,Inner,2023-07-27T16:59:00Z,5,36.5,21
FB2,Inner,2023-07-27T16:59:00Z,6,27.3,20.8
FB2,Inner,2023-07-27T16:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T17:59:00Z,1,0.4,21.1
FB2,Inner,2023-07-27T17:59:00Z,2,8.4,21.2
FB2,Inner,2023-07-27T17:59:00Z,3,5.7,20.8
FB2,Inner,2023-07-27T17:59:00Z,4,20.4,20.8
FB2,Inner,2023-07-27T17:59:00Z,5,36.5,21
FB2,Inner,2023-07-27T17:59:00Z,6,27.3,21
FB2,Inner,2023-07-27T17:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T18:59:00Z,1,0.9,20.8
FB2,Inner,2023-07-27T18:59:00Z,2,8.5,21.2
FB2,Inner,2023-07-27T18:59:00Z,3,5.7,20.8
FB2,Inner,2023-07-27T18:59:00Z,4,20.4,20.8
FB2,Inner,2023-07-27T18:59:00Z,5,36.5,21
FB2,Inner,2023-07-27T18:59:00Z,6,27.3,20.8
FB2,Inner,2023-07-27T18:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T19:59:00Z,1,1,20.7
FB2,Inner,2023-07-27T19:59:00Z,2,8.5,21.2
FB2,Inner,2023-07-27T19:59:00Z,3,5.7,20.8
FB2,Inner,2023-07-27T19:59:00Z,4,20.5,20.8
FB2,Inner,2023-07-27T19:59:00Z,5,36.6,21
FB2,Inner,2023-07-27T19:59:00Z,6,27.3,20.8
FB2,Inner,2023-07-27T19:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T20:59:00Z,1,1.2,20.6
FB2,Inner,2023-07-27T20:59:00Z,2,8.6,21.1
FB2,Inner,2023-07-27T20:59:00Z,3,5.7,20.8
FB2,Inner,2023-07-27T20:59:00Z,4,20.4,20.8
FB2,Inner,2023-07-27T20:59:00Z,5,36.5,21
FB2,Inner,2023-07-27T20:59:00Z,6,27.3,21
FB2,Inner,2023-07-27T20:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T21:59:00Z,1,1.2,20.6
FB2,Inner,2023-07-27T21:59:00Z,2,8.6,21.1
FB2,Inner,2023-07-27T21:59:00Z,3,5.8,20.8
FB2,Inner,2023-07-27T21:59:00Z,4,20.6,20.8
FB2,Inner,2023-07-27T21:59:00Z,5,36.6,21
FB2,Inner,2023-07-27T21:59:00Z,6,27.4,20.8
FB2,Inner,2023-07-27T21:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T22:59:00Z,1,1.4,20.5
FB2,Inner,2023-07-27T22:59:00Z,2,8.6,21.1
FB2,Inner,2023-07-27T22:59:00Z,3,5.8,20.8
FB2,Inner,2023-07-27T22:59:00Z,4,20.6,20.8
FB2,Inner,2023-07-27T22:59:00Z,5,36.6,21
FB2,Inner,2023-07-27T22:59:00Z,6,27.4,20.8
FB2,Inner,2023-07-27T22:59:00Z,7,NA,20.7
FB2,Inner,2023-07-27T23:59:00Z,1,1.4,20.5
FB2,Inner,2023-07-27T23:59:00Z,2,8.6,21.1
FB2,Inner,2023-07-27T23:59:00Z,3,5.8,20.8
FB2,Inner,2023-07-27T23:59:00Z,4,20.6,20.8
FB2,Inner,2023-07-27T23:59:00Z,5,36.6,21
FB2,Inner,2023-07-27T23:59:00Z,6,27.4,20.8
FB2,Inner,2023-07-27T23:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T00:59:00Z,1,1.4,20.5
FB2,Inner,2023-07-28T00:59:00Z,2,8.7,21.1
FB2,Inner,2023-07-28T00:59:00Z,3,5.8,20.8
FB2,Inner,2023-07-28T00:59:00Z,4,20.6,20.8
FB2,Inner,2023-07-28T00:59:00Z,5,36.6,21
FB2,Inner,2023-07-28T00:59:00Z,6,27.4,20.8
FB2,Inner,2023-07-28T00:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T01:59:00Z,1,1.5,20.3
FB2,Inner,2023-07-28T01:59:00Z,2,8.7,21.1
FB2,Inner,2023-07-28T01:59:00Z,3,5.8,20.8
FB2,Inner,2023-07-28T01:59:00Z,4,20.6,20.8
FB2,Inner,2023-07-28T01:59:00Z,5,36.7,21
FB2,Inner,2023-07-28T01:59:00Z,6,27.4,20.8
FB2,Inner,2023-07-28T01:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T02:59:00Z,1,1.5,20.2
